Date,Close,Open,High,Low,Volume,Change %
2017-07-17,7934.5,7915.43,7955.01,7914.44,92130.0,0.62%
2017-07-18,7952.92,7941.37,7967.81,7941.37,138190.0,0.23%
2017-07-19,7972.9,7974.45,8005.31,7967.7,189770.0,0.25%
2017-07-20,7904.34,7988.14,8001.59,7904.34,168020.0,-0.86%
2017-07-21,7989.73,7917.26,7989.73,7849.26,137220.0,1.08%
2017-07-24,7962.64,7985.04,7985.04,7949.41,93160.0,-0.34%
2017-07-25,7971.72,7985.42,7999.0,7958.95,138230.0,0.11%
2017-07-26,8037.51,8007.7,8062.99,7998.14,225270.0,0.83%
2017-07-27,8045.78,8072.21,8106.74,8045.78,177600.0,0.10%
2017-07-28,8071.47,8075.72,8079.7,8046.76,119150.0,0.32%
2017-07-31,8018.05,8068.66,8070.04,7953.47,180740.0,-0.66%
2017-08-01,7906.6,8015.68,8017.18,7906.6,167180.0,-1.39%
2017-08-02,7872.65,7936.89,8037.91,7872.65,159220.0,-0.43%
2017-08-03,7876.66,7897.84,7946.31,7862.11,117570.0,0.05%
2017-08-04,7932.82,7918.91,7960.8,7918.03,258510.0,0.71%
2017-08-07,7992.27,7955.37,7992.27,7955.1,112110.0,0.75%
2017-08-08,7986.51,8030.07,8039.05,7986.51,161850.0,-0.07%
2017-08-09,7985.83,8007.25,8011.59,7940.97,153470.0,-0.01%
2017-08-10,7966.25,8005.39,8008.01,7934.82,103680.0,-0.25%
2017-08-11,7928.43,7953.89,7953.89,7873.31,112190.0,-0.47%
2017-08-14,7962.12,7954.89,7973.34,7951.57,108710.0,0.42%
2017-08-15,8009.41,8003.08,8009.41,7964.33,143610.0,0.59%
2017-08-16,8046.59,8015.69,8082.49,7996.01,157420.0,0.46%
2017-08-17,8072.75,8084.41,8105.01,8049.61,120940.0,0.33%
2017-08-18,8016.73,8079.0,8079.0,8015.68,80510.0,-0.69%
2017-08-22,8015.93,8018.14,8026.31,7969.74,114860.0,-0.01%
2017-08-23,7998.75,8027.97,8028.9,7998.75,90480.0,-0.21%
2017-08-24,8004.93,8023.4,8023.4,7978.86,78240.0,0.08%
2017-08-25,8015.14,8018.2,8031.5,8009.72,91650.0,0.13%
2017-08-29,7948.39,8036.04,8036.04,7931.78,116520.0,-0.83%
2017-08-30,7956.73,7978.8,7984.38,7912.43,106130.0,0.10%
2017-08-31,7958.57,7975.51,7976.3,7943.21,202010.0,0.02%
2017-09-04,8035.2,8014.49,8047.44,7980.86,149200.0,0.96%
2017-09-05,8049.35,8038.28,8049.35,7995.13,157440.0,0.18%
2017-09-06,7983.97,8025.24,8027.22,7972.62,160630.0,-0.81%
2017-09-07,8022.98,8003.83,8025.74,7994.83,157690.0,0.49%
2017-09-08,8022.75,8044.6,8048.51,8018.91,152590.0,0.00%
2017-09-11,8049.31,8036.93,8055.63,8012.55,99340.0,0.33%
2017-09-13,8053.88,8097.27,8103.68,8047.04,173590.0,0.06%
2017-09-14,8144.91,8073.24,8169.64,8071.76,202640.0,1.13%
2017-09-15,8180.85,8141.39,8180.85,8104.95,227890.0,0.44%
2017-09-18,8294.14,8185.24,8294.14,8155.94,157350.0,1.38%
2017-09-19,8162.7,8299.81,8299.85,8162.7,204150.0,-1.58%
2017-09-20,8219.32,8201.69,8250.0,8201.69,127580.0,0.69%
2017-09-21,8286.86,8239.22,8321.81,8237.83,197020.0,0.82%
2017-09-22,8281.27,8297.94,8314.44,8275.45,100650.0,-0.07%
2017-09-25,8244.73,8247.41,8252.2,8195.45,140270.0,-0.44%
2017-09-26,8170.14,8230.56,8230.56,8119.59,392330.0,-0.90%
2017-09-27,8221.92,8159.18,8221.92,8113.3,459310.0,0.63%
2017-09-28,8156.04,8223.69,8223.69,8151.86,182210.0,-0.80%
2017-09-29,8171.43,8151.58,8240.52,8151.58,176860.0,0.19%
2017-10-02,8256.28,8210.76,8257.83,8197.89,113510.0,1.04%
2017-10-03,8312.93,8261.29,8321.22,8261.29,115830.0,0.69%
2017-10-04,8344.05,8328.74,8377.79,8328.74,99190.0,0.37%
2017-10-05,8294.01,8353.23,8355.63,8294.01,88750.0,-0.60%
2017-10-06,8310.88,8332.56,8406.34,8297.02,113030.0,0.20%
2017-10-09,8367.38,8333.7,8367.38,8326.78,60960.0,0.68%
2017-10-10,8398.04,8354.88,8409.92,8340.17,81750.0,0.37%
2017-10-11,8358.47,8418.33,8427.13,8353.11,161370.0,-0.47%
2017-10-12,8402.81,8367.09,8406.36,8361.44,114760.0,0.53%
2017-10-13,8447.94,8422.22,8447.94,8399.84,136340.0,0.54%
2017-10-17,8497.74,8484.94,8586.73,8484.94,179540.0,0.59%
2017-10-18,8431.73,8537.66,8548.58,8332.3,133220.0,-0.78%
2017-10-19,8487.37,8441.36,8487.37,8375.09,88130.0,0.66%
2017-10-20,8420.95,8465.64,8474.18,8415.9,80550.0,-0.78%
2017-10-23,8348.32,8429.89,8456.98,8342.2,97510.0,-0.86%
2017-10-24,8279.92,8351.03,8373.45,8279.92,90740.0,-0.82%
2017-10-25,8303.35,8299.68,8327.76,8244.11,109440.0,0.28%
2017-10-26,8267.92,8301.17,8313.48,8225.95,80550.0,-0.43%
2017-10-27,8295.95,8260.6,8295.95,8209.88,74180.0,0.34%
2017-10-30,8365.26,8332.33,8365.26,8305.65,68010.0,0.84%
