"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2023","6,474.26","6,491.53","6,496.15","6,436.54","117.81K","-0.59%"
"07/05/2023","6,512.39","6,509.20","6,512.39","6,446.79","131.00K","-0.03%"
"07/04/2023","6,514.47","6,501.65","6,519.07","6,494.51","37.08K","0.10%"
"07/03/2023","6,508.21","6,459.53","6,508.21","6,459.53","42.91K","0.62%"
"06/30/2023","6,468.07","6,525.39","6,525.39","6,468.07","118.72K","-0.67%"
"06/29/2023","6,511.49","6,507.42","6,550.25","6,507.42","83.19K","0.13%"
"06/27/2023","6,502.85","6,519.79","6,547.33","6,491.81","94.60K","-0.31%"
"06/26/2023","6,523.09","6,422.57","6,545.45","6,419.93","138.74K","2.03%"
"06/23/2023","6,393.55","6,404.38","6,421.78","6,392.63","67.44K","-0.18%"
"06/22/2023","6,404.91","6,423.06","6,423.06","6,374.07","130.68K","-0.30%"
"06/21/2023","6,424.21","6,420.80","6,437.40","6,406.88","126.32K","-0.38%"
"06/20/2023","6,448.90","6,434.03","6,448.90","6,410.33","116.35K","-0.02%"
"06/19/2023","6,450.34","6,491.85","6,491.85","6,422.11","95.97K","-0.89%"
"06/16/2023","6,508.34","6,450.30","6,508.37","6,413.57","216.44K","0.73%"
"06/15/2023","6,461.42","6,434.94","6,461.42","6,386.84","111.92K","0.43%"
"06/14/2023","6,434.06","6,505.34","6,526.36","6,423.69","207.09K","-1.12%"
"06/13/2023","6,507.26","6,492.06","6,525.42","6,471.53","130.25K","0.00%"
"06/12/2023","6,507.15","6,541.04","6,553.23","6,501.93","80.10K","0.00%"
"06/09/2023","6,507.15","6,541.04","6,553.23","6,501.93","80.10K","-0.49%"
"06/08/2023","6,539.36","6,546.47","6,551.98","6,520.53","65.83K","-0.39%"
"06/07/2023","6,564.70","6,490.35","6,564.70","6,483.87","82.57K","1.31%"
"06/06/2023","6,479.93","6,526.21","6,539.49","6,479.93","95.62K","-0.64%"
"06/05/2023","6,521.64","6,525.63","6,544.13","6,521.06","67.33K","0.15%"
"06/02/2023","6,512.01","6,449.97","6,512.01","6,449.97","149.51K","1.27%"
"06/01/2023","6,430.58","6,502.76","6,502.76","6,430.58","119.94K","-0.72%"
"05/31/2023","6,477.36","6,517.07","6,522.09","6,469.91","981.99K","-0.51%"
"05/30/2023","6,510.67","6,574.79","6,574.79","6,510.67","75.86K","-1.25%"
"05/29/2023","6,593.16","6,543.93","6,593.16","6,532.72","66.97K","0.96%"
"05/26/2023","6,530.20","6,570.95","6,570.95","6,496.47","62.35K","-0.46%"
"05/25/2023","6,560.22","6,612.47","6,613.85","6,560.22","60.52K","-0.84%"
"05/24/2023","6,615.95","6,596.30","6,615.95","6,589.81","60.02K","0.19%"
"05/23/2023","6,603.56","6,601.75","6,641.76","6,592.17","97.31K","-0.26%"
"05/22/2023","6,620.83","6,651.19","6,651.19","6,596.79","83.11K","-0.66%"
"05/19/2023","6,664.55","6,635.45","6,694.09","6,635.45","96.16K","0.54%"
"05/18/2023","6,628.64","6,642.53","6,658.16","6,628.64","81.17K","-0.10%"
"05/17/2023","6,635.11","6,595.46","6,644.38","6,593.66","103.09K","0.70%"
"05/16/2023","6,588.90","6,549.34","6,596.34","6,549.34","65.67K","1.01%"
"05/15/2023","6,523.15","6,582.57","6,585.72","6,523.15","78.69K","-0.84%"
"05/12/2023","6,578.15","6,661.60","6,668.65","6,578.15","150.36K","-1.46%"
"05/11/2023","6,675.46","6,669.40","6,704.53","6,657.51","116.40K","0.25%"
"05/10/2023","6,658.59","6,632.83","6,660.66","6,621.58","100.38K","0.54%"
"05/09/2023","6,622.61","6,615.73","6,646.58","6,594.45","76.80K","0.33%"
"05/08/2023","6,600.74","6,709.56","6,750.06","6,600.74","127.57K","-1.27%"
"05/05/2023","6,685.66","6,678.88","6,706.22","6,673.32","93.67K","0.02%"
"05/04/2023","6,684.35","6,612.14","6,684.44","6,612.14","115.24K","1.18%"
"05/03/2023","6,606.69","6,675.71","6,675.71","6,606.69","104.32K","-0.99%"
"05/02/2023","6,672.69","6,624.95","6,673.44","6,616.88","105.48K","0.72%"
"04/28/2023","6,625.08","6,592.14","6,635.40","6,587.41","235.77K","0.63%"
"04/27/2023","6,583.68","6,541.36","6,597.83","6,530.90","48.58K","0.66%"
"04/26/2023","6,540.24","6,584.86","6,584.86","6,512.98","134.32K","-0.81%"
"04/25/2023","6,593.39","6,595.51","6,597.33","6,575.04","112.59K","-0.08%"
"04/24/2023","6,598.38","6,523.85","6,598.38","6,522.20","99.21K","1.20%"
"04/21/2023","6,520.44","6,520.44","6,520.44","6,520.44","","0.00%"
"04/20/2023","6,520.44","6,466.68","6,520.44","6,453.27","69.87K","1.15%"
"04/19/2023","6,446.35","6,456.96","6,468.63","6,425.90","57.77K","-0.28%"
"04/18/2023","6,464.72","6,499.67","6,499.67","6,454.27","49.09K","-0.63%"
"04/17/2023","6,505.62","6,483.24","6,505.62","6,425.14","71.33K","0.37%"
"04/14/2023","6,481.91","6,445.55","6,481.91","6,445.55","78.96K","0.51%"
"04/13/2023","6,448.87","6,453.29","6,453.29","6,394.10","114.45K","-0.32%"
"04/12/2023","6,469.42","6,473.73","6,479.16","6,428.92","83.45K","-0.16%"
"04/11/2023","6,479.63","6,502.46","6,506.59","6,473.95","91.15K","-0.14%"
"04/05/2023","6,488.51","6,470.54","6,518.17","6,470.54","71.96K","0.25%"
"04/04/2023","6,472.04","6,533.93","6,538.97","6,463.98","75.17K","-0.89%"
"04/03/2023","6,529.99","6,524.31","6,529.99","6,507.10","96.23K","0.47%"
"03/31/2023","6,499.68","6,635.69","6,635.69","6,499.68","149.73K","-2.18%"
"03/30/2023","6,644.75","6,632.56","6,644.75","6,610.76","81.52K","0.21%"
"03/29/2023","6,630.97","6,622.44","6,630.97","6,590.11","83.53K","0.42%"
"03/28/2023","6,603.15","6,607.36","6,627.13","6,603.15","112.75K","0.12%"
"03/27/2023","6,595.03","6,598.73","6,598.73","6,568.70","73.71K","-0.11%"
"03/24/2023","6,602.17","6,523.73","6,602.84","6,523.73","74.40K","1.01%"
"03/23/2023","6,536.36","6,514.14","6,536.36","6,494.06","86.36K","-0.15%"
"03/22/2023","6,546.27","6,540.45","6,593.22","6,540.45","84.04K","0.24%"
"03/21/2023","6,530.75","6,459.54","6,530.75","6,459.54","100.42K","1.24%"
"03/20/2023","6,451.02","6,452.03","6,452.03","6,389.48","86.38K","-0.29%"
"03/17/2023","6,469.72","6,411.18","6,485.61","6,409.29","143.11K","1.01%"
"03/16/2023","6,404.91","6,437.67","6,437.67","6,330.53","108.45K","-0.95%"
"03/15/2023","6,466.10","6,441.67","6,513.26","6,434.93","127.09K","1.14%"
"03/14/2023","6,393.33","6,525.75","6,525.75","6,393.33","136.95K","-2.31%"
"03/13/2023","6,544.45","6,529.57","6,599.96","6,498.40","96.40K","-0.69%"
"03/10/2023","6,589.88","6,596.16","6,596.16","6,518.43","171.13K","-0.29%"
"03/09/2023","6,609.27","6,711.11","6,711.11","6,609.27","119.53K","-1.52%"
"03/08/2023","6,711.49","6,681.21","6,711.49","6,617.86","141.48K","0.10%"
"03/07/2023","6,705.12","6,707.55","6,739.50","6,705.12","127.14K","0.51%"
"03/06/2023","6,671.12","6,673.18","6,737.03","6,671.12","94.82K","0.24%"
"03/03/2023","6,655.37","6,640.33","6,694.36","6,640.33","204.26K","0.50%"
"03/02/2023","6,622.45","6,628.35","6,690.63","6,598.15","149.73K","0.23%"
"03/01/2023","6,607.13","6,602.96","6,630.20","6,579.48","158.98K","0.78%"
"02/28/2023","6,556.20","6,609.41","6,670.49","6,556.20","767.44K","-0.65%"
"02/27/2023","6,599.34","6,684.45","6,684.45","6,537.52","165.44K","-1.29%"
"02/24/2023","6,685.90","6,704.91","6,704.91","6,666.41","129.18K","0.00%"
"02/23/2023","6,685.90","6,704.91","6,704.91","6,666.41","129.18K","-0.20%"
"02/22/2023","6,699.23","6,778.20","6,778.20","6,696.72","115.33K","-1.50%"
"02/21/2023","6,800.96","6,757.95","6,800.96","6,719.10","82.30K","0.84%"
"02/20/2023","6,744.12","6,793.86","6,794.98","6,735.53","74.12K","-0.51%"
"02/17/2023","6,779.02","6,805.21","6,808.97","6,745.54","89.81K","-0.54%"
"02/16/2023","6,815.91","6,814.26","6,848.48","6,808.53","146.43K","-0.09%"
"02/15/2023","6,822.09","6,790.53","6,829.03","6,747.10","97.10K","0.45%"
"02/14/2023","6,791.24","6,847.99","6,863.74","6,791.24","238.85K","-0.69%"
"02/13/2023","6,838.76","6,865.54","6,902.87","6,834.27","178.40K","-0.55%"
"02/10/2023","6,876.79","6,852.17","6,884.20","6,848.71","109.46K","0.50%"
"02/09/2023","6,842.79","6,922.13","6,922.13","6,840.12","115.11K","-1.16%"
"02/08/2023","6,923.08","6,885.27","6,963.46","6,884.49","110.30K","0.61%"
"02/07/2023","6,881.26","6,919.01","6,931.79","6,881.26","107.88K","-0.80%"
"02/06/2023","6,936.61","6,997.46","6,997.46","6,892.00","252.32K","-1.29%"
"02/03/2023","7,027.38","7,012.87","7,027.38","6,901.22","875.08K","0.59%"
"02/02/2023","6,986.19","7,027.92","7,028.37","6,959.78","257.70K","-0.70%"
"02/01/2023","7,035.76","6,814.52","7,035.76","6,813.77","249.66K","3.57%"
"01/31/2023","6,793.25","6,935.67","6,935.67","6,740.19","240.87K","-2.55%"
"01/30/2023","6,970.97","7,048.76","7,053.72","6,929.18","302.53K","-1.15%"
"01/27/2023","7,052.16","7,062.63","7,080.40","7,043.60","112.26K","0.13%"
"01/26/2023","7,042.70","7,088.14","7,101.84","7,042.70","128.44K","-0.55%"
"01/25/2023","7,081.36","7,072.49","7,085.54","7,047.73","138.91K","0.57%"
"01/24/2023","7,041.50","7,065.60","7,137.62","7,039.05","252.73K","-0.40%"
"01/23/2023","7,069.68","7,051.46","7,069.68","7,003.42","97.92K","0.19%"
"01/20/2023","7,056.62","7,056.43","7,063.50","7,035.65","117.08K","-0.08%"
"01/19/2023","7,062.01","7,049.80","7,083.87","7,043.90","194.10K","-0.46%"
"01/18/2023","7,094.86","7,008.01","7,094.86","6,967.87","178.91K","1.15%"
"01/17/2023","7,014.04","7,041.06","7,046.45","6,952.79","192.71K","-0.45%"
"01/16/2023","7,045.48","6,966.00","7,132.10","6,966.00","258.08K","1.35%"
"01/13/2023","6,951.54","6,833.76","6,959.63","6,816.42","238.43K","1.73%"
"01/12/2023","6,833.53","6,723.53","6,833.53","6,723.53","200.01K","1.85%"
"01/11/2023","6,709.34","6,764.68","6,774.47","6,709.34","209.84K","-0.70%"
"01/10/2023","6,756.69","6,783.40","6,783.40","6,740.03","153.93K","-0.49%"
"01/09/2023","6,790.24","6,692.30","6,790.24","6,685.07","150.12K","1.83%"
"01/06/2023","6,667.97","6,736.65","6,736.65","6,666.68","136.74K","-1.38%"
"01/05/2023","6,761.33","6,738.93","6,767.05","6,730.52","167.18K","0.64%"
"01/04/2023","6,718.50","6,601.50","6,755.27","6,601.50","209.87K","2.01%"
"01/03/2023","6,586.01","6,555.40","6,624.76","6,550.17","84.42K","0.30%"
"12/29/2022","6,566.39","6,553.67","6,591.28","6,529.69","161.07K","0.00%"
"12/28/2022","6,566.54","6,567.13","6,576.71","6,530.27","88.56K","0.02%"
"12/27/2022","6,564.90","6,549.09","6,579.26","6,519.90","75.38K","0.36%"
"12/26/2022","6,541.03","6,541.03","6,541.03","6,541.03","","0.00%"
"12/23/2022","6,541.03","6,567.92","6,567.92","6,536.67","56.10K","-0.55%"
"12/22/2022","6,576.94","6,540.93","6,580.21","6,521.67","183.69K","0.86%"
"12/21/2022","6,520.80","6,464.35","6,521.17","6,449.64","158.60K","0.97%"
"12/20/2022","6,458.12","6,412.42","6,458.12","6,385.20","87.79K","0.68%"
"12/19/2022","6,414.27","6,474.00","6,477.99","6,360.97","244.90K","-1.27%"
"12/16/2022","6,496.50","6,523.07","6,552.32","6,478.28","211.65K","-1.07%"
"12/15/2022","6,566.80","6,618.85","6,631.09","6,537.54","120.43K","-0.73%"
"12/14/2022","6,615.07","6,610.46","6,632.12","6,583.35","131.08K","0.50%"
"12/13/2022","6,582.38","6,611.16","6,631.66","6,566.95","135.97K","-0.04%"
"12/12/2022","6,585.20","6,602.58","6,642.40","6,566.86","106.09K","0.08%"
"12/09/2022","6,580.12","6,560.13","6,580.12","6,515.53","134.55K","0.84%"
"12/07/2022","6,525.16","6,662.75","6,662.75","6,525.16","143.05K","-2.24%"
"12/06/2022","6,674.38","6,463.01","6,674.38","6,456.81","132.67K","3.61%"
"12/05/2022","6,442.13","6,503.57","6,541.77","6,442.13","90.80K","-0.73%"
"12/02/2022","6,489.65","6,731.17","6,731.17","6,489.65","115.44K","-3.64%"
"12/01/2022","6,734.99","6,814.14","6,814.14","6,732.96","237.30K","-0.68%"
"11/29/2022","6,780.78","6,652.00","6,780.78","6,600.02","1.30M","1.49%"
"11/28/2022","6,681.47","6,589.83","6,681.61","6,570.62","141.18K","1.13%"
"11/25/2022","6,606.94","6,529.11","6,606.94","6,480.62","114.96K","1.17%"
"11/24/2022","6,530.51","6,503.98","6,536.17","6,496.89","107.83K","0.31%"
"11/23/2022","6,510.32","6,441.42","6,510.32","6,437.76","100.42K","1.25%"
"11/22/2022","6,429.65","6,401.40","6,463.18","6,401.40","106.46K","0.41%"
"11/21/2022","6,403.24","6,451.44","6,451.44","6,364.30","115.39K","-0.53%"
"11/18/2022","6,437.38","6,415.34","6,451.61","6,403.50","143.03K","0.53%"
"11/17/2022","6,403.74","6,380.81","6,406.01","6,366.05","102.77K","0.18%"
"11/16/2022","6,392.09","6,423.63","6,423.63","6,333.95","174.78K","-0.42%"
"11/15/2022","6,418.94","6,334.67","6,418.94","6,320.74","128.90K","1.01%"
"11/14/2022","6,354.76","6,296.22","6,362.35","6,289.05","140.72K","1.08%"
"11/11/2022","6,286.77","6,307.73","6,349.26","6,272.20","109.70K","1.93%"
"11/10/2022","6,167.57","6,230.84","6,248.91","6,158.26","106.48K","-1.19%"
"11/09/2022","6,241.68","6,286.25","6,320.39","6,236.96","112.22K","-0.75%"
"11/08/2022","6,289.10","6,303.58","6,345.83","6,260.50","92.01K","-0.10%"
"11/07/2022","6,295.58","6,184.79","6,295.58","6,167.65","101.09K","1.78%"
"11/04/2022","6,185.53","6,148.47","6,185.53","6,083.50","85.28K","0.48%"
"11/03/2022","6,156.11","6,155.80","6,157.46","6,110.03","79.11K","-0.81%"
"11/02/2022","6,206.24","6,258.91","6,258.91","6,159.60","120.53K","0.86%"
"10/31/2022","6,153.43","6,153.43","6,153.43","6,153.43","","0.00%"
"10/28/2022","6,153.43","6,210.84","6,210.84","6,153.43","93.14K","-1.24%"
"10/27/2022","6,230.58","6,120.90","6,230.58","6,111.94","95.88K","1.78%"
"10/26/2022","6,121.53","6,070.01","6,121.53","6,053.59","61.97K","0.79%"
"10/25/2022","6,073.41","6,038.11","6,073.41","6,020.88","80.83K","0.74%"
"10/24/2022","6,028.79","6,021.54","6,071.70","6,018.98","69.29K","0.76%"
"10/21/2022","5,983.56","6,067.63","6,075.74","5,983.56","80.65K","-1.20%"
"10/20/2022","6,055.99","6,137.26","6,181.75","6,028.49","257.90K","-1.50%"
"10/19/2022","6,148.31","6,130.95","6,148.31","6,077.38","80.43K","0.32%"
"10/18/2022","6,128.64","5,997.78","6,128.64","5,969.78","128.05K","2.65%"
"10/17/2022","5,970.33","5,901.55","5,977.13","5,891.78","72.24K","1.11%"
"10/14/2022","5,904.75","5,954.96","5,967.69","5,904.75","102.97K","0.15%"
"10/13/2022","5,895.64","5,869.85","5,914.73","5,841.57","78.56K","0.72%"
"10/12/2022","5,853.63","5,850.59","5,873.11","5,836.82","74.91K","0.11%"
"10/11/2022","5,847.37","5,849.87","5,899.40","5,835.22","100.57K","0.25%"
"10/10/2022","5,832.58","5,898.83","5,898.83","5,832.58","66.47K","-1.68%"
"10/07/2022","5,932.19","5,940.77","5,941.80","5,869.59","74.05K","-0.04%"
"10/06/2022","5,934.27","5,990.28","6,021.58","5,934.27","80.03K","-0.91%"
"10/05/2022","5,988.59","6,033.43","6,033.43","5,949.81","107.16K","0.01%"
"10/04/2022","5,987.72","5,851.77","5,987.72","5,850.65","103.38K","3.54%"
"10/03/2022","5,783.15","5,734.34","5,784.19","5,699.30","89.95K","0.73%"
"09/30/2022","5,741.07","5,874.57","5,874.57","5,741.07","180.63K","-3.26%"
"09/29/2022","5,934.25","5,967.32","6,006.52","5,911.65","152.03K","0.93%"
"09/28/2022","5,879.68","6,038.98","6,044.17","5,879.68","147.02K","-2.33%"
"09/27/2022","6,020.07","6,193.04","6,193.04","5,962.17","179.16K","-3.83%"
"09/26/2022","6,259.54","6,259.54","6,259.54","6,259.54","","0.00%"
"09/23/2022","6,259.54","6,291.37","6,291.37","6,235.67","126.40K","-0.67%"
"09/22/2022","6,301.71","6,304.19","6,304.19","6,227.58","161.11K","-0.63%"
"09/21/2022","6,341.69","6,437.40","6,446.98","6,315.54","128.60K","-1.66%"
"09/20/2022","6,448.46","6,459.92","6,500.76","6,448.46","97.75K","0.17%"
"09/19/2022","6,437.42","6,544.64","6,550.02","6,433.32","106.86K","-1.70%"
"09/16/2022","6,548.77","6,586.91","6,588.25","6,539.25","439.64K","-0.41%"
"09/15/2022","6,575.67","6,586.55","6,633.63","6,575.67","101.59K","-0.11%"
"09/14/2022","6,582.86","6,604.48","6,618.13","6,560.51","136.25K","-1.77%"
"09/13/2022","6,701.81","6,710.89","6,710.89","6,666.14","84.97K","-0.21%"
"09/12/2022","6,715.75","6,625.40","6,715.75","6,625.40","72.11K","1.66%"
"09/09/2022","6,606.00","6,593.57","6,629.29","6,586.72","81.13K","0.19%"
"09/08/2022","6,593.74","6,574.48","6,600.66","6,548.08","124.03K","0.61%"
"09/07/2022","6,554.08","6,709.46","6,709.46","6,554.08","118.54K","-2.32%"
"09/06/2022","6,709.60","6,681.13","6,721.41","6,668.41","95.47K","0.50%"
"09/05/2022","6,676.04","6,693.84","6,698.54","6,640.03","84.40K","-0.25%"
"09/02/2022","6,692.65","6,586.08","6,692.65","6,586.08","97.46K","1.58%"
"09/01/2022","6,588.28","6,594.67","6,606.21","6,569.17","125.63K","0.07%"
"08/31/2022","6,583.65","6,661.15","6,661.15","6,583.65","247.46K","-1.59%"
"08/30/2022","6,690.27","6,616.43","6,690.44","6,600.99","146.20K","-0.92%"
"08/26/2022","6,752.50","6,697.04","6,752.50","6,680.73","176.28K","0.69%"
"08/25/2022","6,706.43","6,657.18","6,726.68","6,656.70","61.84K","0.95%"
"08/24/2022","6,643.45","6,618.86","6,677.69","6,614.84","75.16K","0.38%"
"08/23/2022","6,618.38","6,680.52","6,680.52","6,591.83","126.04K","-1.28%"
"08/22/2022","6,704.41","6,848.95","6,848.95","6,704.41","119.97K","-2.32%"
"08/19/2022","6,863.86","6,834.76","6,867.89","6,819.15","102.64K","0.57%"
"08/18/2022","6,824.63","6,770.42","6,844.14","6,753.03","181.20K","0.08%"
"08/17/2022","6,818.99","6,845.65","6,883.60","6,817.00","155.97K","-0.46%"
"08/16/2022","6,850.64","6,735.56","6,850.64","6,703.09","207.02K","1.67%"
"08/15/2022","6,737.84","6,699.49","6,745.96","6,691.17","110.42K","0.57%"
"08/12/2022","6,699.66","6,676.27","6,730.53","6,646.79","173.90K","0.28%"
"08/11/2022","6,680.68","6,505.74","6,680.68","6,505.74","196.95K","3.23%"
"08/10/2022","6,471.84","6,464.56","6,471.84","6,413.96","121.55K","0.04%"
"08/09/2022","6,468.97","6,431.60","6,468.97","6,408.39","129.38K","0.54%"
"08/08/2022","6,434.24","6,425.47","6,437.92","6,370.83","119.75K","0.45%"
"08/05/2022","6,405.50","6,484.61","6,519.80","6,405.50","270.36K","-1.20%"
"08/04/2022","6,483.11","6,435.61","6,483.11","6,415.39","104.84K","0.82%"
"08/03/2022","6,430.08","6,359.97","6,430.08","6,336.02","133.20K","1.07%"
"08/02/2022","6,362.30","6,310.03","6,362.30","6,291.94","117.09K","0.80%"
"08/01/2022","6,312.03","6,309.07","6,325.97","6,227.33","134.74K","-0.06%"
"07/29/2022","6,315.93","6,351.70","6,351.70","6,265.95","117.53K","-0.99%"
"07/28/2022","6,379.26","6,274.72","6,379.26","6,274.72","98.84K","2.28%"
"07/27/2022","6,236.76","6,208.93","6,237.27","6,171.45","56.44K","0.22%"
"07/26/2022","6,223.00","6,206.80","6,234.25","6,201.97","74.56K","0.22%"
"07/25/2022","6,209.53","6,239.35","6,241.66","6,163.26","72.34K","-0.86%"
"07/22/2022","6,263.39","6,258.57","6,266.63","6,233.41","63.12K","0.12%"
"07/21/2022","6,256.17","6,298.31","6,347.58","6,245.63","149.24K","-0.30%"
"07/20/2022","6,274.80","6,294.97","6,351.77","6,263.99","116.83K","-0.18%"
"07/19/2022","6,286.24","6,255.57","6,287.03","6,249.26","90.21K","0.28%"
"07/18/2022","6,268.78","6,182.27","6,268.78","6,162.27","80.85K","1.19%"
"07/15/2022","6,195.26","6,240.83","6,240.83","6,127.26","111.78K","-0.85%"
"07/14/2022","6,248.13","6,250.06","6,255.96","6,166.61","111.96K","-0.12%"
"07/13/2022","6,255.37","6,347.63","6,351.82","6,235.57","128.06K","-1.49%"
"07/12/2022","6,349.94","6,378.34","6,393.68","6,349.94","80.07K","-0.61%"
"07/11/2022","6,388.64","6,381.11","6,396.00","6,315.52","80.81K","0.42%"
"07/08/2022","6,361.82","6,366.68","6,497.97","6,358.44","168.63K","0.15%"
"07/07/2022","6,352.32","6,419.90","6,425.23","6,332.54","127.78K","-1.44%"
"07/06/2022","6,445.01","6,323.62","6,445.01","6,312.09","132.59K","2.14%"
"07/05/2022","6,309.99","6,193.16","6,309.99","6,193.16","110.67K","2.04%"
"07/04/2022","6,183.62","6,195.90","6,210.83","6,160.88","100.44K","0.30%"
"07/01/2022","6,165.35","6,174.37","6,223.56","6,148.43","124.66K","0.16%"
"06/30/2022","6,155.43","6,321.04","6,337.34","6,140.22","171.47K","-2.34%"
"06/29/2022","6,303.19","6,361.23","6,374.91","6,303.19","131.20K","-0.67%"
"06/28/2022","6,345.41","6,247.14","6,349.49","6,232.05","162.34K","1.71%"
"06/27/2022","6,238.82","6,241.94","6,253.51","6,197.98","143.28K","0.34%"
"06/24/2022","6,217.56","6,096.48","6,217.56","6,096.48","142.52K","2.51%"
"06/23/2022","6,065.23","6,177.56","6,215.90","6,054.79","140.88K","-1.67%"
"06/22/2022","6,168.00","6,289.27","6,299.41","6,168.00","149.47K","-1.86%"
"06/21/2022","6,285.19","6,349.26","6,370.74","6,255.68","108.90K","-0.77%"
"06/20/2022","6,333.94","6,341.98","6,349.01","6,302.50","87.06K","0.04%"
"06/17/2022","6,331.56","6,308.86","6,331.56","6,273.73","281.29K","-0.96%"
"06/16/2022","6,393.01","6,374.43","6,393.38","6,327.23","128.02K","1.16%"
"06/15/2022","6,319.42","6,443.85","6,472.64","6,319.42","128.02K","-2.40%"
"06/14/2022","6,474.53","6,416.87","6,474.53","6,384.41","131.29K","0.12%"
"06/13/2022","6,467.01","6,503.06","6,503.53","6,430.45","125.31K","-0.97%"
"06/10/2022","6,530.04","6,713.33","6,713.33","6,530.04","121.07K","-3.38%"
"06/09/2022","6,758.59","6,796.38","6,796.38","6,684.63","101.69K","-0.16%"
"06/08/2022","6,769.62","6,768.35","6,797.55","6,733.14","110.18K","0.23%"
"06/07/2022","6,754.01","6,717.62","6,754.01","6,705.63","96.53K","0.55%"
"06/06/2022","6,716.88","6,747.60","6,749.07","6,699.97","132.10K","-0.36%"
"06/03/2022","6,741.40","6,667.62","6,743.15","6,653.96","93.78K","0.82%"
"06/02/2022","6,686.83","6,722.73","6,722.73","6,653.41","84.39K","-0.38%"
"06/01/2022","6,712.21","6,786.92","6,786.92","6,698.79","118.32K","-0.92%"
"05/31/2022","6,774.68","6,832.08","6,832.08","6,774.68","1.03M","-0.70%"
"05/30/2022","6,822.32","6,741.95","6,839.27","6,729.90","153.90K","1.43%"
"05/27/2022","6,726.14","6,655.51","6,726.14","6,641.16","142.27K","1.21%"
"05/26/2022","6,645.52","6,607.19","6,645.52","6,589.18","139.22K","0.72%"
"05/25/2022","6,597.76","6,580.09","6,612.08","6,574.98","133.83K","0.31%"
"05/24/2022","6,577.45","6,693.61","6,693.61","6,577.45","145.01K","-1.65%"
"05/23/2022","6,687.85","6,757.59","6,757.59","6,678.01","143.02K","-0.87%"
"05/20/2022","6,746.33","6,683.15","6,763.74","6,683.15","167.04K","1.30%"
"05/19/2022","6,660.05","6,651.17","6,711.15","6,597.14","225.67K","-1.00%"
"05/18/2022","6,727.60","6,621.17","6,727.60","6,607.98","223.60K","2.02%"
"05/17/2022","6,594.66","6,518.12","6,594.66","6,495.68","298.11K","1.42%"
"05/16/2022","6,502.12","6,458.57","6,539.33","6,458.57","173.59K","1.93%"
"05/13/2022","6,379.17","6,545.52","6,569.36","6,379.17","340.02K","-2.34%"
"05/12/2022","6,532.30","6,633.68","6,633.68","6,532.30","170.32K","-1.56%"
"05/11/2022","6,635.86","6,677.24","6,695.85","6,630.52","153.70K","-1.27%"
"05/10/2022","6,720.93","6,632.35","6,720.93","6,547.44","170.51K","-0.58%"
"05/09/2022","6,759.90","6,759.90","6,759.90","6,759.90","","0.00%"
"05/06/2022","6,759.90","6,800.94","6,855.01","6,759.90","93.33K","-1.59%"
"05/05/2022","6,868.92","6,827.94","6,881.59","6,785.39","104.52K","0.97%"
"05/04/2022","6,802.73","6,736.30","6,802.73","6,630.46","111.26K","1.21%"
"05/02/2022","6,721.08","6,742.83","6,764.10","6,668.39","79.48K","-0.15%"
"04/29/2022","6,731.25","6,911.64","6,911.64","6,731.25","189.90K","-2.58%"
"04/28/2022","6,909.45","6,858.00","6,909.45","6,828.85","97.70K","0.66%"
"04/27/2022","6,863.91","6,936.10","6,945.30","6,832.92","89.25K","-1.66%"
"04/26/2022","6,980.02","6,996.01","7,001.91","6,964.00","73.12K","-0.58%"
"04/25/2022","7,020.83","6,971.88","7,020.83","6,913.43","84.81K","0.32%"
"04/22/2022","6,998.59","7,067.93","7,072.59","6,959.95","76.63K","-0.89%"
"04/21/2022","7,061.49","7,145.50","7,156.85","7,050.62","104.83K","-1.13%"
"04/20/2022","7,142.42","7,085.23","7,142.42","7,067.74","92.66K","1.49%"
"04/19/2022","7,037.74","7,009.48","7,047.49","7,009.15","98.47K","0.60%"
"04/18/2022","6,996.11","7,010.92","7,010.92","6,977.40","52.80K","0.16%"
"04/13/2022","6,984.90","6,907.97","6,984.90","6,907.97","76.91K","1.30%"
"04/12/2022","6,895.36","6,992.97","6,992.97","6,895.36","105.29K","-1.33%"
"04/11/2022","6,988.29","7,017.95","7,026.92","6,988.29","57.40K","-0.42%"
"04/08/2022","7,018.02","6,957.42","7,018.02","6,950.10","87.22K","1.33%"
"04/07/2022","6,926.03","7,100.06","7,120.82","6,926.03","149.63K","-2.58%"
"04/06/2022","7,109.26","7,129.27","7,130.92","7,080.49","82.68K","-0.65%"
"04/05/2022","7,156.07","7,158.57","7,158.57","7,106.49","70.36K","-0.10%"
"04/04/2022","7,163.21","7,124.25","7,163.21","7,124.25","78.50K","0.14%"
"04/01/2022","7,152.88","7,160.48","7,162.44","7,103.47","101.97K","-0.70%"
"03/31/2022","7,203.47","7,173.69","7,203.47","7,156.49","172.40K","0.51%"
"03/30/2022","7,167.02","7,097.18","7,167.02","7,097.18","164.39K","0.73%"
"03/29/2022","7,115.09","7,090.22","7,115.09","7,062.72","115.64K","-0.27%"
"03/28/2022","7,134.36","7,120.74","7,134.36","7,080.37","87.93K","0.13%"
"03/25/2022","7,124.84","7,073.61","7,124.84","7,048.53","102.10K","0.60%"
