Date,Close,Open,High,Low,Volume,Change %,SMA,WMA,StochD,AD,PctDiffLow,FFT_Min,FFT_Max,Skewness,Kurtosis,SD
2016-04-22,7255.39,7253.3,7272.42,7235.03,111190.0,-0.03%,-0.0009359636048251772,-0.0013495263385138712,32.90650705653409,-0.014339248579639986,0.011749891579151434,15.080182383530763,145445.39,-0.014501011025818212,-0.8874784862961,0.005179621959579724
2016-04-25,7250.13,7260.04,7267.44,7227.25,90230.0,-0.07%,-0.001963589138097291,-0.0018526593636415587,40.880472288999094,-0.012681536173192886,0.01101639490568432,27.43862057637768,145340.72999999998,-0.08862433920397327,-0.8188014887476749,0.005138689883500644
2016-04-26,7211.92,7245.63,7249.86,7202.0,103600.0,-0.53%,-0.007529619968527529,-0.006155836089306557,31.67924261521533,-0.0033615417450923615,0.003987036562684502,18.42888522723768,145256.33999999997,-0.038657816824437016,-0.7317542152757732,0.0049480871526686706
2016-04-27,7180.53,7192.07,7201.0,7137.78,129110.0,-0.44%,-0.011339741317037967,-0.00891355919129521,23.90788099602429,0.09248210185770804,0.005989257163992166,46.50543428951232,145193.86,0.15111181437384724,-0.6979189206038261,0.004936166734892421
2016-04-28,7162.56,7199.98,7220.66,7158.63,111450.0,-0.25%,-0.012992366515902532,-0.009565132064580286,14.471205276354553,0.08129828278328091,0.0034716676613737963,27.861270609934852,145075.16,0.11195609511545339,-0.5836353031923509,0.004852663458512913
2016-04-29,7159.29,7162.49,7162.49,7122.76,106330.0,-0.05%,-0.01215814488082283,-0.008233494223541778,14.318860876466916,0.12153563154835513,0.005128629913123528,19.572936836161126,144975.42,0.054653967131379,-0.5589422849065069,0.0048365376488064115
2016-05-02,7053.88,7106.35,7124.26,6980.18,129670.0,-1.47%,-0.02427275931200759,-0.019330391737877924,14.533640946703082,0.13501365687730943,0.010558466973631025,48.05999999999767,144889.58000000002,-0.3407957711994217,-0.06908902859180621,0.0057490603456414584
2016-05-03,7046.57,7064.46,7098.48,7046.57,122300.0,-0.10%,-0.022440122810369244,-0.017016058768871235,16.656707663879516,0.11597926092913134,0.009511216043139205,105.18381862244685,144688.93000000002,-0.44266731141615717,0.09961077134146645,0.0056905227220664005
2016-05-04,7081.86,7049.64,7081.86,6982.32,83910.0,0.50%,-0.014855753819958756,-0.009763901505882418,20.681199223426,0.19203709393539226,0.014566959591299848,17.786724809167577,144516.27000000002,-0.6161128570126277,0.18219732253904874,0.005762942116404629
2016-05-05,6999.75,7007.63,7011.28,6986.86,108420.0,-1.16%,-0.02315689288602548,-0.017785913087600073,16.41493271382198,0.1650700441508114,0.0028036526278691536,26.85635927920886,144417.58000000002,-0.5380122852463765,-0.22477940936679497,0.005932791593055644
2016-05-06,6991.87,6976.36,7003.03,6961.65,137120.0,-0.11%,-0.02180396022467124,-0.01569067785992085,14.05069005058821,0.14348032739255653,0.004340924924407325,58.48000000001048,144184.36000000002,-0.48544452961971,-0.17724630223198368,0.005874364226227058
2016-05-10,7174.88,6966.35,7174.88,6941.42,235050.0,2.62%,0.0042035293170852766,0.009558601067883307,28.708593815010573,0.19961373678589125,0.03363288779529261,70.31093036494563,143929.03,1.3835277421368366,3.5062725054287585,0.008443760392379424
2016-05-11,7396.52,7227.55,7423.52,7227.55,299830.0,3.09%,0.033208744499765526,0.03585405175881163,58.21848586273671,0.2277451661625186,0.06556295397771643,9.977396331344893,143812.47999999998,1.4972104778562585,2.105439378561165,0.011020452045975904
2016-05-12,7325.04,7399.79,7399.79,7310.1,161400.0,-0.97%,0.02253829611849373,0.022668744174825606,81.50130899703856,0.1305558575807761,0.05526534916486827,9.65999999998894,143902.44,1.575362364112089,2.196381702843051,0.011210042679115155
2016-05-13,7436.79,7368.93,7517.95,7352.03,278440.0,1.53%,0.03626368409218968,0.03301683206766545,86.63162675095013,0.12596177866449462,0.07136436060633125,25.619999999995343,143886.47999999998,1.3283131839050044,1.192863589923121,0.011716517303142038
